Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Undergrad scenario body,Undergrad scenario body #2 (negation scenarios only),Undergrad comprehension question,Undergrad correct response,Undergrad incorrect response,Undergrad photo link,Undergrad photo name,Letters Missing,Occurrence
Academics/Work/Career Development,Finances,,Extra Income,"You've recently been feeling overwhelmed with your classes, but you know that you need to get a job to be in a more stable financial situation. While searching online for jobs, you saw an application for a job that sounds really fun for you. You think that working this job on top of school will be manageable. ",N/A,Do you think you can handle a job on top of school?,Yes,,https://drive.google.com/file/d/1UBORN__WOk3N5lP4X-qA_lwYYhlyyYqS/view?usp=sharing,11.jpeg,1,4
Academics/Work/Career Development,,,Finishing Work,"You have a paper due in your history class next week. You haven't started it yet because you're unsure how to answer the prompt. When you think about turning in the paper on time, you feel confident.",N/A,Are you worried about turning in your paper on time?,No,,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,12.jpeg,1,2
Academics/Work/Career Development,,,Writing Project,"Your TA asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your TA's opinion of you will be negative.",N/A,Your TA probably found you to be...,Incapable,Capable,https://drive.google.com/file/d/1ZdlotRy46kMOko2PYg-y4oaDD1yOaad1/view?usp=sharing,13.jpeg,1,2
Academics/Work/Career Development,,,Crowd of speech,"You are giving a speech at a discussion session. As you speak, you look into the class and notice that your TA's expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your TA was most likely feeling impressed.",Does your TA's neutral expression mean that they are disappointed with your speech?,No,,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,14.jpeg,1,3
Academics/Work/Career Development,,,Certainty of being correct,"You are taking a challenging exam. On one of the questions, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,,https://drive.google.com/file/d/1bf9wnNLkpAlmRwV5Zfu-4kD42O_5A8eS/view?usp=sharing,15.jpeg,1,2
Academics/Work/Career Development,Social Situations,,Prepare to Succeed,"In your class today, you have an important exam. In order to pass the class, you must get at least a 75% on this exam. When you think about taking the exam, you feel prepared.",,Are you able to pass the exam?,Yes,,https://drive.google.com/file/d/1iyPFNwJ-WUaZ4_XPtJLCtmKF9BVDTv4X/view?usp=sharing,16.jpeg,1,2
Academics/Work/Career Development,,,Putting Preparation to the Test,"You have a midterm in your history class today. You've been studying hard for it because it counts for a big chunk of your final grade. When the TA places the test on your desk and you look at the first question, you feel prepared.",N/A,Do you feel ready for your midterm today? ,Yes,,https://drive.google.com/file/d/10SQmYfVuHzcGYJjADi5bmTtG4gXr2V9x/view?usp=sharing,17.jpeg,1,2
Academics/Work/Career Development,,,Poor Performance,"You have a meeting with your professor. You're not doing well in a class required for your major. You know that your guardian will ask how you are doing in your classes later that night when you talk on the phone. When you think about what your guardian will say to you afterwards, you feel ok.",N/A,Can you handle your guardian's reaction to your poor grade?,Yes,,https://drive.google.com/file/d/1R2qiJM_IDzSxINZRkJ1oU9N7X9ZhWZBn/view?usp=sharing,18.jpeg,1,2
Academics/Work/Career Development,,,Important visitors,"Some important people are visiting your class, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,19.jpeg,1,2
Academics/Work/Career Development,,,An interview panel,"You are the third and final candidate to be interviewed for a scholarship. The interview panel greets you as you walk into their office. When you sit down, you feel your cheeks burning red, and you start to shake. The panel probably sees you as nervous.","After the interview, you realize that it is normal to be nervous during panel interviews. The panelists probably saw you as reasonably calm and enthusiastic.",Do you think the interviewers see you as a nervous person?,No,,https://drive.google.com/file/d/1mTDpifErX2S2EJttSEMaqR6mz1MpzjR7/view?usp=sharing,20.jpeg,1,2
Academics/Work/Career Development,Mental Health,,Falling Behind,"You recently started a new job. As you've been working, it seems like everyone around you knows what they're doing, but you're still confused. You think this is because you're still learning, and you'll catch on soon. ",N/A,Will you get better at your job?,Yes,,https://drive.google.com/file/d/1V3qcOIHvtf7LmQss0ruGtHPfIMlyIauX/view?usp=sharing,21.jpeg,1,4
Academics/Work/Career Development,Family & Home Life,,Approaching Deadline,"You and your hall share a printer. You have an assignment due in class today but there is a long line for the printer. When you think about printing your assignment in time, you feel confident.",N/A,Will you print your assignment in time?,Yes,,https://drive.google.com/file/d/116zQoKxbsldaHPvP2apITE3EYXHovLKA/view?usp=sharing,22.jpeg,1,3
Academics/Work/Career Development,,,"1, 2, 3. Eyes on Me",You have a big presentation in one of your classes. You know everyone's eyes are on you as you stand in front of the class. You feel nervous.,"You give yourself a moment to collect your thoughts and begin the presentation. During the presentation, you feel prepared.",Are you feeling prepared for your presentation?,Yes,,https://drive.google.com/file/d/1nUDKdq79IsojabL_DGbGTayRJ_gaEEvX/view?usp=sharing,23.jpeg,1,2
Academics/Work/Career Development,,,Getting an Opportunity,"You have submitted an application for a graduate school program that you have been hoping to get into. You hope to get an interview for the program after they review your application, but you know it is very competitive. With your qualifications, you expect to get a call.",,Your qualifications...,Put you in a good position to get an interview.,Are probably not strong enough to make you stand out.,https://drive.google.com/file/d/1kw58e9iPvU1vOT2PxZuYepma0F30V2qn/view?usp=sharing,24.jpeg,1,4
Academics/Work/Career Development,Social Situations,,Mind Going Blank,Your teacher calls on you to answer a question about the book you just read. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,25.jpeg,1,4
Academics/Work/Career Development,Social Situations,,Leaning on your Peers,"You got your grades back today and you got a couple lower grades than you expected. Your friends are talking about their grades, and they said they got straight As. If you tell your friends your grades, they will be understanding.",,Will your friends judge you for getting lower grades than them?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,26.jpeg,1,2
Academics/Work/Career Development,Social Situations,,Stuttering in office ,"You are having a conversation with your professor in their office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",N/A,Are you embarrassed due to stuttering over your words?,No,,https://drive.google.com/file/d/1aUoa1C9eagfLdwz6V8WTzXzAjHHYPXaJ/view?usp=sharing,27.jpeg,1,3
Academics/Work/Career Development,,,Unstable WiFi,"You don't have stable internet access at home and you found out UVA has converted to online learning. You wonder how you'll be able to keep up with your classes. As you think about the situation, you feel stressed.",N/A,Are you worried about keeping up with your classes? ,Yes,,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,28.jpeg,1,2
Academics/Work/Career Development,Social Situations,,Nerve-wracking presentation,"You have to give a presentation to one of your classes. As you think about the presentation, you feel butterflies in your stomach. On the morning of the presentation, you feel nervous, and you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,29.jpeg,1,3
Academics/Work/Career Development,,,Discussing the Evaluation ,"Your final grades have been posted and you notice a few grades are lower than you normally get. You need a certain GPA for your major. Your major advisor may want to discuss your recent grades during your next meeting. While you're waiting for this meeting, you feel ready.",N/A,Are you spending your time worrying about telling your major advisor your grades?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,26.jpeg,1,2
Academics/Work/Career Development,Social Situations,,Assessments at School,You are currently going through a long week of midterms and projects. Your friend who you have not seen at all this semester has asked you to hang out the night before an exam. You know that you need to study but worry that your friend will be upset for not making time for them at all this semester. ,You realize that there is still time left in the semester to see your friend and that they will understand you need this time to study for your exam.,Will your friend be mad at you for not hanging out?,No,,https://drive.google.com/file/d/1l7EYIU9EAQNPZ729hAe8kKcigikut6sh/view?usp=sharing,30.jpeg,2,2
Academics/Work/Career Development,Social Situations,,Dealing with Group Work," You have a group project for one of your classes.  You've been grouped with other students who usually don't care about getting a good grade. You start to think about how the project  will go, and feel uneasy.",,Are you worried about completing the project?,Yes,,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,31.jpeg,2,2
Academics/Work/Career Development,,,Discussing the Evaluation ,"Your final grades have been posted and you notice a few grades are lower than you normally get. You need a certain GPA for your major. Your major advisor may want to discuss your recent grades during your next meeting. While you're waiting for this meeting, you feel ready.",N/A,Are you spending your time worrying about telling your major advisor your grades?,No,,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,26.jpeg,2,2
Academics/Work/Career Development,Social Situations,,Mind Going Blank,Your teacher calls on you to answer a question about the book you just read. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,25.jpeg,2,4
Academics/Work/Career Development,,,Running Late,"You wake up and realize that you're late for your first online class of the day. You log into the meeting and when you do, your teacher stops talking. You apologize for being late in the chat, and spend the rest of the class feeling calm.",N/A,Are you anxious for the rest of class because you were late?,No,,https://drive.google.com/file/d/11hkKoc95B-7-zuWUGB6ZlYkbaj1oMxzZ/view?usp=sharing,32.jpeg,2,1
Academics/Work/Career Development,Social Situations,,Speaking Up in Class,Your professer is talking about one of your role models in your field of study during a class and she asks if anyone knows about their work. In front of everyone you quickly raise your hand and the class turns to you. You realize that you feel confident.,,Are you embarrassed that you raised your hand?,No,,https://drive.google.com/file/d/1m_8qmeODeDBlBanntvu6ima-H1mPTeDV/view?usp=sharing,33.jpeg,2,2
Academics/Work/Career Development,Social Situations,,Writing workshop,"A friend suggests that you join an evening class on creative writing. You go online and read information about the class and see that all your work will be reveiwed by your classmates. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic.",N/A,Do you expect to feel uncomfortable if others look at your work?,No,,https://drive.google.com/file/d/1vQbs0ifLnQbnC1ejFEq6WujzKLqZl7vv/view?usp=sharing,34.jpeg,2,2
Academics/Work/Career Development,Social Situations,,A sip of water,"You are told you need to give a presentation to other members of your student club. When it is time to present, you have a sip of water and wonder what the other students will think of you. As you begin to speak, you feel scared and decide to continue.",N/A,When you feel anxious during a presentation...,You have the ability to continue with your talk.,You have to stop your talk and flee the situation.,https://drive.google.com/file/d/1M2nmwy6Vs-FYWSeplo1FuQ51PqchzdnB/view?usp=sharing,35.jpeg,2,4
Academics/Work/Career Development,,,Important visitors,"Some important people are visiting your class, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,19.jpeg,2,2
Academics/Work/Career Development,,,A night off,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,36.jpeg,2,2
Academics/Work/Career Development,Social Situations,,An engaged audience,"You are required to give a presentation to a group of classmates that you know well. They all are quiet during your presentation. As you think about it later in your dorm room, you think that your classmates found your presentation interesting.",N/A,Your classmates were probably quiet because ...,They were engaged by your presentation.,They were bored by your presentation.,https://drive.google.com/file/d/12S8nfxTZe8xGCPO8jz-sGM6I1c8zCe1q/view?usp=sharing,37.jpeg,2,3
Academics/Work/Career Development,Mental Health,,Answering Unexpected Questions,"You are presenting your work to a group of your peers. After you present, someone asks you a very specific question that you do not know the answer to and you feel like you are unqualified. You remember that you did a lot of research, and this question may just not be relevant.",N/A,Are you qualified to be giving your presentation?,Yes,,https://drive.google.com/file/d/12gcbXlswsM0sW5_Z7DcSBJGr1Bq-2t8t/view?usp=sharing,38.jpeg,2,4
Academics/Work/Career Development,Social Situations,,Shaking Hands,"You are giving a presentation to your class about your research project. You feel that your hands are shaking a little. Wondering if it is obvious, you look around and see that a few classmates have noticed.",You realize that your classmates are more interested in your presentation than your hands. You continue your presentation and as time passes you realize that your nerves are manageable.,Are you able to handle your anxiety during your presentation?,Yes,,https://drive.google.com/file/d/1fP7NEOdaJAargUDgnwsccl6_MGByH6Hs/view?usp=sharing,39.jpeg,2,2
Academics/Work/Career Development,,,Taking Your Own Career Path,"You've decided to go to graduate school after undergrad. You don't know anyone who is continuing their education, and all of your friends are done with school after undergraduate. When you think about your decision, you feel like it's right.",,Are you satisfied with your decision to go to grad school?,Yes,,https://drive.google.com/file/d/1McHRxEGY3iZSY7uGTmj-MS6dVQ9p-iPa/view?usp=sharing,40.jpeg,2,1
Academics/Work/Career Development,Mental Health,,Teaching Others,"You have been asked to tutor for a class. The tutor before you was extremely well liked, and you worry you won't be able to live up to students' expectations. You remember that you know the material well, and when you think about tutoring for the course, you are hopeful.",N/A,Will you tutor for the course well?,Yes,,https://drive.google.com/file/d/1C5L6fKZvsuJRuh2QnDj4U7_d1_Djs1Rr/view?usp=sharing,41.jpeg,2,3
Academics/Work/Career Development,Finances,,Work-Study Balance,"Last month, you took on an extra job to earn more spending money. However, this has caused you to spend less time studying, and you are worried about how the job will impact your academic performance moving forward. You talk with your boss and make a plan to reduce your job hours slightly, which makes you feel relieved. ",,Will your job have a negative impact on your schoolwork? ,No ,Yes,https://drive.google.com/file/d/11q5pKXoPWPhEb3Jj9q5NvtB1VcTrqt3e/view?usp=sharing,42.jpeg,2,2
Academics/Work/Career Development,Mental Health,,Important Email,"Today your top internship choice is emailing you about whether or not you were accepted. You have a few hours to wait until you'll get the email. When you think about waiting that long, you feel miserable.",N/A,Do you feel OK having to wait for the email?,No,,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,43.jpeg,2,3
Academics/Work/Career Development,Social Situations,,Missing meeting,"Although you are normally on time for work events, today you receive an email from your boss saying that you are a few minutes late for a scheduled meeting with them, which you had completely forgotten about. As you quickly head to the office, you wonder whether they are going to judge you for being late. As you walk into the room, your anxiety is tolerable.",N/A,"During the meeting, your boss will probably think you are ...","Competent, even though you made a mistake. ",Irresponsible and nervous.,https://drive.google.com/file/d/17IOmNhMDq3epnJGE8TemGWfg4KUWPytl/view?usp=sharing,44.jpeg,2,2
Academics/Work/Career Development,Family & Home life,,Expectations,"Finals just ended and you know your parents are going to want to know how you did. They have high expectations for your scores, but you did worse than you expected on a couple of your exams. Your parents will be upset.","You think about why they want you to get high scores. You know it is because they want you to do well, so that makes you feel better.",Do you stay upset when thinking about telling your parents about your final scores? ,No,,https://drive.google.com/file/d/1g5rt5FyfZFihgwapf3Ncm1etDzBr2iwc/view?usp=sharing,45.jpeg,2,2
Academics/Work/Career Development,Social Situations,,Peer Evaluations,"You decide to run for president of a club you're in and you have to debate your fellow candidates in front of the school. The other candidates are on the debate team, and this is your first debate. When you think about arguing your position in front of your other club members, you feel confident.",N/A,Are you worried about the debate?,No,,https://drive.google.com/file/d/1Gf9_VnvtNkCVWOZu8VQ1INYnQFjRuB7m/view?usp=sharing,46.jpeg,2,2
Academics/Work/Career Development,Mental Health,,Managing Responsibilities,"You have started a new part time job and have had a difficult time managing it with school. Your boss asked if you would be willing to help her out with a project outside of your usual responsibilities, and you are worried if she will be dissappointed if you say no. After thinking on it, you tell her that you can't help out with this project because of school, but are willing to help out on the next one.",N/A,Is it okay to turn down additional responsibility?,Yes,,https://drive.google.com/file/d/1mnjPZpYIVahZEm1gr4Zu9gKZfMCjl2Tk/view?usp=sharing,47.jpeg,2,4
Academics/Work/Career Development,Social Situations,,Recovering From a Mistake,You are giving a presentation in class and accidentally skip a section so have to start again. You are embarrassed by the mistake and worry what the audience thought of you. The audience probably thinks your delivery after starting over was awkward.,"Later that day, you realize that it is common to make mistakes when presenting. Your classmates probably thought your delivery after starting over was admirable.",Do you think that your classmates thought of you as awkward for making a mistake?,No,,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,48.jpeg,2,3
Academics/Work/Career Development,,,Reconnecting With People,"You have had a lot of assignments and exams pile up these past couple of weeks. As a result, you have not been able to spend time with friends or family as much as you would want and have often times felt lonely. Once your workload lessens, you plan on reconnecting with people who mean a lot to you.",N/A,Will you be able to hang out with friends and family when you have more time?,Yes,,https://drive.google.com/file/d/1oRVHiCteKOP5kuq94IS2VDj-UvycRI7V/view?usp=sharing,49.jpeg,2,1
Academics/Work/Career Development,,,Deleted section,"You are taking a class and recently turned in a paper. You decide to re-read your submitted paper, and realize that you accidentally deleted a section you meant to include in the paper. Given that you accidentally made this deletion, you think that you are likely to pass.",N/A,Are you going to get a passing grade on the paper?,Yes,,https://drive.google.com/file/d/1Yt4G6HZMK_t-ihnEQ6iXy7znjFBPDG8C/view?usp=sharing,50.jpeg,2,2
Academics/Work/Career Development,,,Completion Complications,"You are taking a test in a class. You only have ten minutes left and you still have three long problems to get through. When you think about your ability to complete the test, you feel doubtful.",,Will you be able to finish your test in time?,No,,https://drive.google.com/file/d/1HUpZhRLel0QTYYZM64ONySSJM68ju4jm/view?usp=sharing,51.jpeg,2,1
Academics/Work/Career Development,,,Crowd of speech,"You are giving a speech at a discussion session. As you speak, you look into the class and notice that your TA's expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your TA was most likely feeling impressed.",Does your TA's neutral expression mean that they are disappointed with your speech?,No,,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,14.jpeg,2,3
Academics/Work/Career Development,Finances,,Job Market,"You recently saw on the news that the economy has been particularly bad. Even though you have an above-average resume, you wonder whether you'll be able to find a job after graduating. You think you will likely be fine.",N/A,Is it likely that you will find a job?,Yes,,https://drive.google.com/file/d/1_T7rY6ZMUGkrrUUDGpQvHEG53QIE1J_h/view?usp=sharing,52.jpeg,2,4
Academics/Work/Career Development,,,Putting in the Work,"This year, you've decied to take a 4000 level class. This is your first 4000 class and you've heard from your classmates that it's a lot of work. When you think about the class, you think that you will be able to do well.",,Will you succeed in your first 4000 level class?,Yes,,https://drive.google.com/file/d/1P-A1Dw9BpwfIdrZwOnIWzDOp28x4JMYX/view?usp=sharing,53.jpeg,2,2
Academics/Work/Career Development,,,Making a Choice,"Your family wants you to pursue a specific major. You would rather choose a different major but your family has made it clear they are not on board with the major choice. When you think about talking with your family about your choice, you feel prepared.",N/A,Can you handle talking to your family about your major choice?,Yes,,https://drive.google.com/file/d/1Z0nzrIQHVjl7UmtuA4nngOFyGYVvmBB-/view?usp=sharing,54.jpeg,2,2
Academics/Work/Career Development,,,Taking Your Time,"Your professor calls on you to answer a question about the book you just read. You don't know what to say, and your mind goes blank. After a few moments, you prepare your answer and feel ok.",N/A,Are you able to answer the question?,Yes,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,25.jpeg,all,2
Academics/Work/Career Development,,,A lengthy read,"You have an essay to write, and you try very hard to make sure it is comprehensive. The final copy is quite long. When your professor reads it, you think they will judge your efforts as suitable.",N/A,Will your professor judge your efforts as reasonable?,Yes,,https://drive.google.com/file/d/1RKi9OcuyFaniZ5jGBXttumHbaAOKNP2G/view?usp=sharing,55.jpeg,all,1
Academics/Work/Career Development,,,Troublesome Typos,"You just turned in an important paper. As you're checking your submission, you see a typo in the first sentence. You believe that you should be concerned.",,Should you be worried about the typo?,Yes,,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,12.jpeg,all,1
Academics/Work/Career Development,Social Situations,,Contributing to a discussion,Your professor is leading a discussion on creating areas of focus for the final project. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your professor and the class will find your ideas to be exciting.,N/A,The people in your class will probably ...,Support your ideas.,Dislike your ideas. ,https://drive.google.com/file/d/1JLyALw0FAi4CqbIXE3sRzXwYRToDyEgw/view?usp=sharing,56.jpeg,all,3
Academics/Work/Career Development,Mental Health,Social Situations,Important opinion,"You finish a task due next week for your evening class and ask the tutor for his opinion. They say the work is good, apart from an incomplete section. You feel that they think you are careless.","In the end, you realize that the tutor brought the error to your attention so you could improve it before turning it in. You fix the incomplete section and believe that the tutor thinks you are learning.",Was your tutor pleased with your progress?,Yes,,https://drive.google.com/file/d/1sS8e3ZmixCVH2YAFPuVlOAoIhpt-vfWE/view?usp=sharing,57.jpeg,all,4
Academics/Work/Career Development,Social Situations,,Giving a Presentation,"You have a lot of work to do for one of your major classes. One of your most important homework assignments for the class is to do research about a topic and make a well-prepared, lengthy presentation to your classmates. As you imagine yourself giving your presentation, you feel excited.",N/A,Are you looking forward to giving your presentation in your class? ,Yes,,https://drive.google.com/file/d/1_2rE9XRzKQTqhk0TQjBqftLX-RvYtkqL/view?usp=sharing,58.jpeg,all,4
Academics/Work/Career Development,Social Situations,,Quick correction,"In the hallway outside of the classroom, your professor asks you a question, and you realize you respond incorrectly. Your professor corrects you. You think the experience of being corrected by your professor is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad student. Your professor had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your professor incorrectly?,Yes,,https://drive.google.com/file/d/1LkIEzSKHGt3ThPYYrQWPZjfUroEcuFve/view?usp=sharing,59.jpeg,all,3
Academics/Work/Career Development,Social Situations,,Optional presentation,"This semester, a few new members joined your club. Your club's president asks you to stay after a meeting to give them a brief presentation about the club's goals and values but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,,https://drive.google.com/file/d/1f7AX8AtByV-EKIO86OXhrR2a6P9gCwXU/view?usp=sharing,60.jpeg,all,2
Academics/Work/Career Development,Family & Home Life,,Others' Opinions,"You have received a poor score on an exam and know that your guardian will ask how you did on the exam. They frown when you tell them your exam grade. You tell them that you studied extremely hard despite the grade, and they are proud of the effort you put into the exam.",N/A,Is your guardian disappointed that you got a bad grade?,No,,https://drive.google.com/file/d/1Srg7WWskU86agc1Xzr0g_QYySWH4zGS8/view?usp=sharing,61.jpeg,all,2
Academics/Work/Career Development,Social Situations,,Participation,"You consider taking an evening class in which part of your grade is based on your participation, even though you do not like speaking up in front of others. Because the topic is really interesting, you decide to sign up for the class. After signing up, you realize that this decision was great.",N/A,Are you happy that you signed up for the interesting evening class?,Yes,,https://drive.google.com/file/d/1Dh2em2eifFjm2KkfZDfxM2WuvxRCmMV7/view?usp=sharing,62.jpeg,all,4
Academics/Work/Career Development,Mental Health,,An Important Presentation,"A recruiter for your dream internship is watching your class presentations. During the presentation, you stumble over your words a lot. You feel defeated.","While you feel upset, you realize that it's natural to make mistakes. You think that the recruiter won't remember.",Is it okay that you made a mistake in front of the recruiter?,Yes ,,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,63.jpeg,all,4
